h,no,va,vo,g
LS,1,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 65, 'ruido': 51, 'int_luminosa': 701}",0.63545
LS,2,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 60, 'ruido': 55, 'int_luminosa': 718}",0.6303
LS,3,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 41, 'ruido': 45, 'int_luminosa': 691}",0.63155
LS,4,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 53, 'ruido': 61, 'int_luminosa': 699}",0.62435
LS,5,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 56, 'ruido': 54, 'int_luminosa': 626}",0.61775
LS,6,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 47, 'ruido': 37, 'int_luminosa': 689}",0.61315
LS,7,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 50, 'ruido': 60, 'int_luminosa': 555}",0.61595
LS,8,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 55, 'ruido': 51, 'int_luminosa': 718}",0.634
LS,9,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 48, 'int_luminosa': 782}",0.629
LS,10,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 57, 'ruido': 64, 'int_luminosa': 751}",0.6365
LS,11,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 55, 'ruido': 63, 'int_luminosa': 682}",0.6236
LS,12,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 61, 'ruido': 55, 'int_luminosa': 737}",0.63105
LS,13,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 55, 'ruido': 39, 'int_luminosa': 568}",0.6345
LS,14,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 56, 'ruido': 53, 'int_luminosa': 579}",0.63715
LS,15,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 55, 'ruido': 35, 'int_luminosa': 673}",0.6214
LS,16,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 45, 'ruido': 50, 'int_luminosa': 700}",0.63165
LS,17,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 59, 'ruido': 31, 'int_luminosa': 739}",0.631
LS,18,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 55, 'ruido': 45, 'int_luminosa': 729}",0.63635
LS,19,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 63, 'ruido': 63, 'int_luminosa': 760}",0.63175
LS,20,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 55, 'ruido': 49, 'int_luminosa': 601}",0.6208
LS,21,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 58, 'ruido': 41, 'int_luminosa': 511}",0.6268
LS,22,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 65, 'ruido': 58, 'int_luminosa': 694}",0.6335
LS,23,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 54, 'int_luminosa': 918}",0.63125
LS,24,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 64, 'ruido': 59, 'int_luminosa': 658}",0.6184
LS,25,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 42, 'ruido': 61, 'int_luminosa': 731}",0.6414
LS,26,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 55, 'ruido': 59, 'int_luminosa': 347}",0.62955
LS,27,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 54, 'ruido': 53, 'int_luminosa': 765}",0.62875
LS,28,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 47, 'ruido': 58, 'int_luminosa': 668}",0.6305
