h,no,va,vo,g
GA,21,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
GA,22,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 57, 'ruido': 59, 'int_luminosa': 743}",0.64625
GA,23,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 57, 'ruido': 59, 'int_luminosa': 743}",0.64625
GA,24,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 57, 'ruido': 59, 'int_luminosa': 739}",0.646
GA,25,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 59, 'int_luminosa': 739}",0.646
GA,26,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 57, 'ruido': 59, 'int_luminosa': 739}",0.646
GA,27,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 57, 'ruido': 59, 'int_luminosa': 743}",0.64625
GA,28,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
GA,29,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 59, 'int_luminosa': 740}",0.6462
GA,30,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
